ncm;tratamento;reducao;norma;dispositivo;trecho
34011900;reducao;60;"Lei Complementar 214/2025";"Anexo VIII, item 6";"Sabões em barra classificados no código 3401.19.00 da NCM/SH"
96190000;reducao;60;"Lei Complementar 214/2025";"Anexo VIII, item 7";"Fraldas e artigos higiênicos semelhantes, de qualquer matéria classificadas no código 9619.00.00 da NCM/SH"
31010000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 1";"Biofertilizantes, em conformidade com as definições e demais requisitos da legislação específica 3101.00.00"
31;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 2";"Fertilizantes (adubos), em conformidade com as definições e demais requisitos da legislação específica Capítulo 31 3824.99.77 3824.99.79 3824.99.89"
38249989;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 2";"Fertilizantes (adubos), em conformidade com as definições e demais requisitos da legislação específica Capítulo 31 3824.99.77 3824.99.79 3824.99.89"
38;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 2";"Fertilizantes (adubos), em conformidade com as definições e demais requisitos da legislação específica Capítulo 31 3824.99.77 3824.99.79 3824.99.89"
24;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 2";"Fertilizantes (adubos), em conformidade com as definições e demais requisitos da legislação específica Capítulo 31 3824.99.77 3824.99.79 3824.99.89"
38249979;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 2";"Fertilizantes (adubos), em conformidade com as definições e demais requisitos da legislação específica Capítulo 31 3824.99.77 3824.99.79 3824.99.89"
38249977;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 2";"Fertilizantes (adubos), em conformidade com as definições e demais requisitos da legislação específica Capítulo 31 3824.99.77 3824.99.79 3824.99.89"
25;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 3";"Corretivos de solo (inclusive condicionadores), remineralizadores e substratos para plantas; em conformidade com as definições e demais requisitos da legislação específica Capítulo 25"
30029000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 4";"Inoculantes, meios de cultura e outros microorganismos para uso agrícola; em conformidade com as definições e demais requisitos da legislação específica 3002.49 3002.90.00 3821.00.00"
300249;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 4";"Inoculantes, meios de cultura e outros microorganismos para uso agrícola; em conformidade com as definições e demais requisitos da legislação específica 3002.49 3002.90.00 3821.00.00"
38210000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 4";"Inoculantes, meios de cultura e outros microorganismos para uso agrícola; em conformidade com as definições e demais requisitos da legislação específica 3002.49 3002.90.00 3821.00.00"
38070000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 5";"Bioestimulantes e bioinsumos para controle fitossanitário, em conformidade com as definições e demais requisitos da legislação específica 38.24 3807.00.00 12.11 38.08"
38249989;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 6";"Inseticidas, fungicidas, formicidas, herbicidas, parasiticidas, germicidas, acaricidas, nematicidas, raticidas, desfolhantes, dessecantes, espalhantes adesivos, estimuladores e inibidores de crescimento (reguladores); todos destinados diretamente ao uso agropecuário ou destinados diretamente à fabricação de defensivo agropecuário; em conformidade com as definições e demais requisitos da legislação específica 38.08 3824.99.89"
68062000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
47010000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
230400;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
13019090;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
380400;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
12011000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
14049090;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
12130000;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
29224;reducao;60;"Lei Complementar 214/2025";"Anexo IX, item 7";"Calcário, casca de coco triturada, turfa; tortas, bagaços e demais resíduos e desperdícios vegetais das indústrias alimentares; cascas, serragens e demais resíduos e desperdícios de madeira; resíduos da indústria de celulose (dregs e grits), ossos, borra de carnaúba, cinzas, resíduos agroindustriais orgânicos, DL-Metionina e seus análogos, vermiculita e argilas expandidas, palhas e cascas de produtos vegetais, fibra de coco e outras fibras vegetais, silicatos de potássio ou de magnésio, resinas e oleorresinas naturais, sucos e extratos vegetais, aminoácidos e microrganismos mortos, óleos essenciais, argilas e terras, carvão vegetal e pastas mecânicas de madeira; todos destinados diretamente à fabricação de biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário ou utilizados diretamente como biofertilizantes, fertilizantes, corretivos de solo (inclusive condicionadores), remineralizadores, substratos para plantas, bioestimulantes ou biodefensivos para controle fitossanitário; em conformidade com as definições e demais requisitos da legislação específica 05.06 1201.10.00 1213.00.00 1301.90.90 1302.19.9 1401.90.00 1404.90.90 2102.20.00 23.02 23.03 2304.00 2305.00.00 23.06 2308.00.00 2703.00.00 2839.90.10 2839.90.50 2922.4 2930.40 33.01 3802.90.40 3804.00 3824.99.71 4401.39.00 4401.4 4402.90.00 4701.00.00 5305.00.90 6806.20.00"
